hubs,quantile,variance,assortativity,subgraph_comp_exp,count_expressers
1.0,0.0,0.5370353036815904,-0.16345975364316406,1.0,600.0
1.0,0.1,0.5123870037450637,-0.1572987686016689,1.0,547.0
1.0,0.2,0.454363666517886,-0.13550229352958734,47.0,481.0
1.0,0.3,0.4102118142932584,-0.11857911395721607,118.0,433.0
1.0,0.4,0.37074038124464875,-0.15750057175894794,130.0,362.0
1.0,0.5,0.3487940762701894,-0.15548099566406817,108.0,305.0
1.0,0.6,0.2821926588925576,-0.20405045722796036,130.0,242.0
1.0,0.7,0.2742537145131619,-0.1220540009106477,146.0,218.0
1.0,0.8,0.2152436412110238,-0.15052547677021944,106.0,134.0
1.0,0.9,0.21684716748961871,-0.15711183163163853,98.0,131.0
2.0,0.0,0.6282230036886693,-0.12597782553541048,1.0,600.0
2.0,0.1,0.6074062841286734,-0.11992669760120725,1.0,541.0
2.0,0.2,0.5413863189237731,-0.11208616505337307,3.0,482.0
2.0,0.3,0.49747203988808936,-0.1481112558574815,4.0,420.0
2.0,0.4,0.45442389779326126,-0.1079964364156531,17.0,370.0
2.0,0.5,0.38501591735499824,-0.09881378224061803,32.0,304.0
2.0,0.6,0.3145660610179173,-0.08986600871730008,56.0,240.0
2.0,0.7,0.24811877935977933,-0.10689185947667974,79.0,186.0
2.0,0.8,0.21494615478418774,-0.11934505032111935,75.0,135.0
2.0,0.9,0.14761491749471062,-0.11400297345985985,52.0,72.0
3.0,0.0,0.7258658411372284,-0.09162192050802354,1.0,600.0
3.0,0.1,0.6779170235419401,-0.10181259187240656,1.0,541.0
3.0,0.2,0.6158318495593433,-0.11002996178460644,1.0,481.0
3.0,0.3,0.5337274954159527,-0.08299424798202364,1.0,421.0
3.0,0.4,0.474723678010367,-0.0950067745839029,2.0,360.0
3.0,0.5,0.4070240341116993,-0.1108048746046352,7.0,300.0
3.0,0.6,0.31693896906467045,-0.0917922258441378,17.0,240.0
3.0,0.7,0.27161208093057243,-0.07810153551312903,36.0,191.0
3.0,0.8,0.17504351523773215,-0.06007729961461112,53.0,123.0
3.0,0.9,0.11819597884407448,-0.10434667575790221,41.0,60.0
4.0,0.0,0.7827325318769863,-0.08921544627963933,1.0,600.0
4.0,0.1,0.6982878833477063,-0.06340413844938242,1.0,540.0
4.0,0.2,0.6530119477746557,-0.06416368581540195,1.0,480.0
4.0,0.3,0.558460806260339,-0.06081680581221979,1.0,420.0
4.0,0.4,0.4792525729350793,-0.07326584296643517,2.0,360.0
4.0,0.5,0.4116501570415153,-0.06936251470030676,7.0,301.0
4.0,0.6,0.352905973500466,-0.09130840010588823,2.0,243.0
4.0,0.7,0.27634123725261406,-0.06988263965341794,20.0,180.0
4.0,0.8,0.19699689147144103,-0.07966479061354936,31.0,122.0
4.0,0.9,0.12766551432394901,-0.06897929481758064,35.0,65.0
5.0,0.0,0.8260850987224742,-0.040564688606560644,1.0,600.0
5.0,0.1,0.7505247645836027,-0.07219553466777887,1.0,540.0
5.0,0.2,0.6545025948365,-0.04466255526827638,1.0,480.0
5.0,0.3,0.600326832661176,-0.05154106824158181,1.0,420.0
5.0,0.4,0.5189317621613543,-0.026122120516098888,2.0,360.0
5.0,0.5,0.4223019076096236,-0.07743644765209247,1.0,300.0
5.0,0.6,0.35396944847529094,-0.07955261437845246,5.0,240.0
5.0,0.7,0.2848375630575447,-0.0905567529295115,7.0,180.0
5.0,0.8,0.19130715430133857,-0.06258243935885698,34.0,121.0
5.0,0.9,0.11201362459008952,-0.077356701457755,33.0,60.0
6.0,0.0,0.8178050178388818,-0.052104228619468736,1.0,600.0
6.0,0.1,0.7675594776033915,-0.0570617416895823,1.0,541.0
6.0,0.2,0.6993422661531641,-0.06468134027918908,1.0,480.0
6.0,0.3,0.5978119410945549,-0.06431298890042737,1.0,420.0
6.0,0.4,0.5422847243308498,-0.06139773338837203,1.0,360.0
6.0,0.5,0.44350190428745845,-0.0684273887032092,1.0,300.0
6.0,0.6,0.35662577131166123,-0.04098055869944785,3.0,240.0
6.0,0.7,0.2779618639969652,-0.0515785641802634,3.0,180.0
6.0,0.8,0.18989901111366853,-0.050768161213356186,12.0,120.0
6.0,0.9,0.10752482952934786,-0.060452943869108836,26.0,61.0
7.0,0.0,0.8540458500721765,-0.04180020089485293,1.0,600.0
7.0,0.1,0.7776174812369514,-0.0481763013751049,1.0,540.0
7.0,0.2,0.7110996299153415,-0.02721158314338526,1.0,480.0
7.0,0.3,0.6267505455099445,-0.06216201818618839,1.0,420.0
7.0,0.4,0.5358621970601517,-0.04417227980209815,1.0,360.0
7.0,0.5,0.4552957935683194,-0.06474607104872288,1.0,300.0
7.0,0.6,0.3709344875189605,-0.06299324047443293,1.0,240.0
7.0,0.7,0.2654544002825007,-0.033240726738515226,6.0,180.0
7.0,0.8,0.18421673184841217,-0.05965510525353727,12.0,120.0
7.0,0.9,0.11122372848739649,-0.042071198454860376,26.0,62.0
8.0,0.0,0.872734816162421,-0.04662369655366517,1.0,600.0
8.0,0.1,0.7879988268470165,-0.05026182966466525,1.0,540.0
8.0,0.2,0.7079458486362169,-0.043508649729303676,1.0,480.0
8.0,0.3,0.6084881874958689,-0.048939386928785834,1.0,420.0
8.0,0.4,0.5330369159507535,-0.06971914031822288,1.0,360.0
8.0,0.5,0.4522476115808651,-0.02360531600186663,1.0,302.0
8.0,0.6,0.3629737913466062,-0.046619732596773315,1.0,240.0
8.0,0.7,0.2762668712745416,-0.029120827594416324,1.0,180.0
8.0,0.8,0.19272512189591978,-0.03545723582000846,3.0,120.0
8.0,0.9,0.10474233056897773,-0.03454660727049179,21.0,60.0
9.0,0.0,0.8747659632062705,-0.027487182824485114,1.0,600.0
9.0,0.1,0.8098768361564846,-0.033379716925033824,1.0,540.0
9.0,0.2,0.7209297529332802,-0.04635614790592677,1.0,480.0
9.0,0.3,0.627624400131884,-0.05108203739738169,1.0,421.0
9.0,0.4,0.5443169362125796,-0.048332198707330874,1.0,360.0
9.0,0.5,0.45513217712920323,-0.044914937501315665,1.0,300.0
9.0,0.6,0.3728648229485655,-0.038648269682699105,1.0,240.0
9.0,0.7,0.28289206967746444,-0.045407951450333266,2.0,180.0
9.0,0.8,0.19141233175430808,-0.019231533704752085,6.0,121.0
9.0,0.9,0.10479334975805447,-0.023929825970961383,12.0,60.0
